surname,team,position,minutes,shots,passes,tackles,saves,number of passes per minute played,,,,,Which team has the highest average number of passes per minute played,
Sneijder,Netherlands,midfielder,532,15,279,7,0,0.52,,,,,,
Valbuena,France,midfielder,21,1,11,1,0,0.52,,,,,,
Mendes,Portugal,midfielder,224,0,117,9,0,0.52,,,,,,
Heinze,Argentina,defender,360,3,188,6,0,0.52,,,,,,
Mertesacker,Germany,defender,540,0,282,9,0,0.52,,,,,,
Tiago,Portugal,midfielder,298,6,155,15,0,0.52,,,,,,
Jesus Navas,Spain,midfielder,118,4,61,1,0,0.52,,,,,,
Upson,England,defender,180,1,93,4,0,0.52,,,,,,
Muntari,Ghana,midfielder,134,5,69,3,0,0.51,,,,,,
Appiah,Ghana,midfielder,105,1,54,2,0,0.51,,,,,,
Strba,Slovakia,midfielder,267,2,137,5,0,0.51,,,,,,
Yebda,Algeria,midfielder,269,8,138,10,0,0.51,,,,,,
Baptista,Brazil,midfielder,82,0,42,1,0,0.51,,,,,,
Robinho,Brazil,forward,354,9,181,5,0,0.51,,,,,,
Clichy,France,defender,90,0,46,2,0,0.51,,,,,,
Evra,France,defender,180,0,92,4,0,0.51,,,,,,
Cannavaro,Italy,defender,270,0,138,11,0,0.51,,,,,,
Kim Jung-Woo,South Korea,midfielder,360,4,184,10,0,0.51,,,,,,
Inler,Switzerland,midfielder,270,2,138,6,0,0.51,,,,,,
Kader Keita,Ivory Coast,midfielder,94,2,48,2,0,0.51,,,,,,
Malouda,France,midfielder,150,4,76,1,0,0.51,,,,,,
Criscito,Italy,defender,225,1,114,6,0,0.51,,,,,,
Tevez,Argentina,forward,324,6,164,7,0,0.51,,,,,,
Moore,Australia,defender,180,1,91,3,0,0.51,,,,,,
Abidal,France,defender,180,0,91,6,0,0.51,,,,,,
Ramires,Brazil,midfielder,105,3,53,3,0,0.50,,,,,,
Emana,Cameroon,midfielder,117,7,59,2,0,0.50,,,,,,
Moreno,Mexico,defender,147,0,74,4,0,0.50,,,,,,
Badstuber,Germany,defender,167,0,84,6,0,0.50,,,,,,
Eboue,Ivory Coast,defender,251,3,126,6,0,0.50,,,,,,
van Bronckhorst,Netherlands,defender,540,1,271,10,0,0.50,,,,,,
Neill,Australia,defender,270,1,135,4,0,0.50,,,,,,
Mbia,Cameroon,defender,270,3,135,4,0,0.50,,,,,,
Jakubko,Slovakia,forward,2,0,1,0,0,0.50,,,,,,
Pienaar,South Africa,midfielder,252,2,126,3,0,0.50,,,,,,
Tshabalala,South Africa,midfielder,270,9,135,8,0,0.50,,,,,,
Eguren,Uruguay,midfielder,2,0,1,0,0,0.50,,,,,,
Holden,USA,midfielder,4,0,2,0,0,0.50,,,,,,
Juan,Brazil,defender,450,4,223,9,0,0.50,,,,,,
